End Date,End Time,PM10,Status/units,Period
22/06/2018,01:00:00,13.7,R ugm-3 (VCM),22/06/2018 01:00
22/06/2018,02:00:00,13,R ugm-3 (VCM),22/06/2018 02:00
22/06/2018,03:00:00,11,R ugm-3 (VCM),22/06/2018 03:00
22/06/2018,04:00:00,15.1,R ugm-3 (VCM),22/06/2018 04:00
22/06/2018,05:00:00,19.2,R ugm-3 (VCM),22/06/2018 05:00
22/06/2018,06:00:00,29.8,R ugm-3 (VCM),22/06/2018 06:00
22/06/2018,07:00:00,22.1,R ugm-3 (VCM),22/06/2018 07:00
22/06/2018,08:00:00,21.1,R ugm-3 (VCM),22/06/2018 08:00
22/06/2018,09:00:00,12.3,R ugm-3 (VCM),22/06/2018 09:00
22/06/2018,10:00:00,14.5,R ugm-3 (VCM),22/06/2018 10:00
22/06/2018,11:00:00,11.3,R ugm-3 (VCM),22/06/2018 11:00
22/06/2018,12:00:00,16.5,R ugm-3 (VCM),22/06/2018 12:00
22/06/2018,13:00:00,20.4,R ugm-3 (VCM),22/06/2018 13:00
22/06/2018,14:00:00,20.2,R ugm-3 (VCM),22/06/2018 14:00
22/06/2018,15:00:00,27.7,R ugm-3 (VCM),22/06/2018 15:00
22/06/2018,16:00:00,26.6,R ugm-3 (VCM),22/06/2018 16:00
22/06/2018,17:00:00,13.7,R ugm-3 (VCM),22/06/2018 17:00
22/06/2018,18:00:00,9.3,R ugm-3 (VCM),22/06/2018 18:00
22/06/2018,19:00:00,17,R ugm-3 (VCM),22/06/2018 19:00
22/06/2018,20:00:00,17.2,R ugm-3 (VCM),22/06/2018 20:00
22/06/2018,21:00:00,19.7,R ugm-3 (VCM),22/06/2018 21:00
22/06/2018,22:00:00,21.5,R ugm-3 (VCM),22/06/2018 22:00
22/06/2018,23:00:00,17.5,R ugm-3 (VCM),22/06/2018 23:00
22/06/2018,24:00:00,16.2,R ugm-3 (VCM),23/06/2018 00:00
23/06/2018,01:00:00,14.9,R ugm-3 (VCM),23/06/2018 01:00
23/06/2018,02:00:00,14.7,R ugm-3 (VCM),23/06/2018 02:00
23/06/2018,03:00:00,14.1,R ugm-3 (VCM),23/06/2018 03:00
23/06/2018,04:00:00,16.9,R ugm-3 (VCM),23/06/2018 04:00
23/06/2018,05:00:00,13.6,R ugm-3 (VCM),23/06/2018 05:00
23/06/2018,06:00:00,17.5,R ugm-3 (VCM),23/06/2018 06:00
23/06/2018,07:00:00,15.1,R ugm-3 (VCM),23/06/2018 07:00
23/06/2018,08:00:00,14,R ugm-3 (VCM),23/06/2018 08:00
23/06/2018,09:00:00,15.1,R ugm-3 (VCM),23/06/2018 09:00
23/06/2018,10:00:00,10.6,R ugm-3 (VCM),23/06/2018 10:00
23/06/2018,11:00:00,12,R ugm-3 (VCM),23/06/2018 11:00
23/06/2018,12:00:00,18.2,R ugm-3 (VCM),23/06/2018 12:00
23/06/2018,13:00:00,15.3,R ugm-3 (VCM),23/06/2018 13:00
23/06/2018,14:00:00,13.7,R ugm-3 (VCM),23/06/2018 14:00
23/06/2018,15:00:00,10,R ugm-3 (VCM),23/06/2018 15:00
23/06/2018,16:00:00,11,R ugm-3 (VCM),23/06/2018 16:00
23/06/2018,17:00:00,16.6,R ugm-3 (VCM),23/06/2018 17:00
23/06/2018,18:00:00,15.5,R ugm-3 (VCM),23/06/2018 18:00
23/06/2018,19:00:00,12.5,R ugm-3 (VCM),23/06/2018 19:00
23/06/2018,20:00:00,18.4,R ugm-3 (VCM),23/06/2018 20:00
23/06/2018,21:00:00,17.2,R ugm-3 (VCM),23/06/2018 21:00
23/06/2018,22:00:00,18.1,R ugm-3 (VCM),23/06/2018 22:00
23/06/2018,23:00:00,15.8,R ugm-3 (VCM),23/06/2018 23:00
23/06/2018,24:00:00,16.8,R ugm-3 (VCM),24/06/2018 00:00
24/06/2018,01:00:00,11.3,R ugm-3 (VCM),24/06/2018 01:00
24/06/2018,02:00:00,11.1,R ugm-3 (VCM),24/06/2018 02:00
24/06/2018,03:00:00,9.4,R ugm-3 (VCM),24/06/2018 03:00
24/06/2018,04:00:00,10.4,R ugm-3 (VCM),24/06/2018 04:00
24/06/2018,05:00:00,12.2,R ugm-3 (VCM),24/06/2018 05:00
24/06/2018,06:00:00,7.5,R ugm-3 (VCM),24/06/2018 06:00
24/06/2018,07:00:00,13.7,R ugm-3 (VCM),24/06/2018 07:00
24/06/2018,08:00:00,10.9,R ugm-3 (VCM),24/06/2018 08:00
24/06/2018,09:00:00,6.9,R ugm-3 (VCM),24/06/2018 09:00
24/06/2018,10:00:00,14.8,R ugm-3 (VCM),24/06/2018 10:00
24/06/2018,11:00:00,15.5,R ugm-3 (VCM),24/06/2018 11:00
24/06/2018,12:00:00,15.6,R ugm-3 (VCM),24/06/2018 12:00
24/06/2018,13:00:00,14.8,R ugm-3 (VCM),24/06/2018 13:00
24/06/2018,14:00:00,13.2,R ugm-3 (VCM),24/06/2018 14:00
24/06/2018,15:00:00,14.8,R ugm-3 (VCM),24/06/2018 15:00
24/06/2018,16:00:00,15.5,R ugm-3 (VCM),24/06/2018 16:00
24/06/2018,17:00:00,17,R ugm-3 (VCM),24/06/2018 17:00
24/06/2018,18:00:00,15.6,R ugm-3 (VCM),24/06/2018 18:00
24/06/2018,19:00:00,18.8,R ugm-3 (VCM),24/06/2018 19:00
24/06/2018,20:00:00,18.3,R ugm-3 (VCM),24/06/2018 20:00
24/06/2018,21:00:00,21.1,R ugm-3 (VCM),24/06/2018 21:00
24/06/2018,22:00:00,25.1,R ugm-3 (VCM),24/06/2018 22:00
24/06/2018,23:00:00,21.2,R ugm-3 (VCM),24/06/2018 23:00
24/06/2018,24:00:00,21.1,R ugm-3 (VCM),25/06/2018 00:00
25/06/2018,01:00:00,14.5,R ugm-3 (VCM),25/06/2018 01:00
25/06/2018,02:00:00,14.6,R ugm-3 (VCM),25/06/2018 02:00
25/06/2018,03:00:00,15.5,R ugm-3 (VCM),25/06/2018 03:00
25/06/2018,04:00:00,20,R ugm-3 (VCM),25/06/2018 04:00
25/06/2018,05:00:00,16.9,R ugm-3 (VCM),25/06/2018 05:00
25/06/2018,06:00:00,18.3,R ugm-3 (VCM),25/06/2018 06:00
25/06/2018,07:00:00,19.7,R ugm-3 (VCM),25/06/2018 07:00
25/06/2018,08:00:00,22,R ugm-3 (VCM),25/06/2018 08:00
25/06/2018,09:00:00,25.5,R ugm-3 (VCM),25/06/2018 09:00
25/06/2018,10:00:00,26.2,R ugm-3 (VCM),25/06/2018 10:00
25/06/2018,11:00:00,27.2,R ugm-3 (VCM),25/06/2018 11:00
25/06/2018,12:00:00,21.4,R ugm-3 (VCM),25/06/2018 12:00
25/06/2018,13:00:00,35.3,R ugm-3 (VCM),25/06/2018 13:00
25/06/2018,14:00:00,36,R ugm-3 (VCM),25/06/2018 14:00
25/06/2018,15:00:00,59.3,R ugm-3 (VCM),25/06/2018 15:00
25/06/2018,16:00:00,74.7,R ugm-3 (VCM),25/06/2018 16:00
25/06/2018,17:00:00,84.4,R ugm-3 (VCM),25/06/2018 17:00
25/06/2018,18:00:00,71.8,R ugm-3 (VCM),25/06/2018 18:00
25/06/2018,19:00:00,22.2,R ugm-3 (VCM),25/06/2018 19:00
25/06/2018,20:00:00,21.6,R ugm-3 (VCM),25/06/2018 20:00
25/06/2018,21:00:00,30.8,R ugm-3 (VCM),25/06/2018 21:00
25/06/2018,22:00:00,38.8,R ugm-3 (VCM),25/06/2018 22:00
25/06/2018,23:00:00,25,R ugm-3 (VCM),25/06/2018 23:00
25/06/2018,24:00:00,18.8,R ugm-3 (VCM),26/06/2018 00:00
26/06/2018,01:00:00,12.3,R ugm-3 (VCM),26/06/2018 01:00
26/06/2018,02:00:00,8.8,R ugm-3 (VCM),26/06/2018 02:00
26/06/2018,03:00:00,2.9,R ugm-3 (VCM),26/06/2018 03:00
26/06/2018,04:00:00,5.6,R ugm-3 (VCM),26/06/2018 04:00
26/06/2018,05:00:00,9.2,R ugm-3 (VCM),26/06/2018 05:00
26/06/2018,06:00:00,19.9,R ugm-3 (VCM),26/06/2018 06:00
26/06/2018,07:00:00,16.6,R ugm-3 (VCM),26/06/2018 07:00
26/06/2018,08:00:00,20.6,R ugm-3 (VCM),26/06/2018 08:00
26/06/2018,09:00:00,21.3,R ugm-3 (VCM),26/06/2018 09:00
26/06/2018,10:00:00,21.7,R ugm-3 (VCM),26/06/2018 10:00
26/06/2018,11:00:00,24.6,R ugm-3 (VCM),26/06/2018 11:00
26/06/2018,12:00:00,70,R ugm-3 (VCM),26/06/2018 12:00
26/06/2018,13:00:00,118.1,R ugm-3 (VCM),26/06/2018 13:00
26/06/2018,14:00:00,41.9,R ugm-3 (VCM),26/06/2018 14:00
26/06/2018,15:00:00,29.3,R ugm-3 (VCM),26/06/2018 15:00
26/06/2018,16:00:00,32.1,R ugm-3 (VCM),26/06/2018 16:00
26/06/2018,17:00:00,34.5,R ugm-3 (VCM),26/06/2018 17:00
26/06/2018,18:00:00,26.1,R ugm-3 (VCM),26/06/2018 18:00
26/06/2018,19:00:00,37.8,R ugm-3 (VCM),26/06/2018 19:00
26/06/2018,20:00:00,26,R ugm-3 (VCM),26/06/2018 20:00
26/06/2018,21:00:00,21.2,R ugm-3 (VCM),26/06/2018 21:00
26/06/2018,22:00:00,15.6,R ugm-3 (VCM),26/06/2018 22:00
26/06/2018,23:00:00,19.9,R ugm-3 (VCM),26/06/2018 23:00
26/06/2018,24:00:00,22.2,R ugm-3 (VCM),27/06/2018 00:00
27/06/2018,01:00:00,15.4,R ugm-3 (VCM),27/06/2018 01:00
27/06/2018,02:00:00,11.1,R ugm-3 (VCM),27/06/2018 02:00
27/06/2018,03:00:00,10.7,R ugm-3 (VCM),27/06/2018 03:00
27/06/2018,04:00:00,15.1,R ugm-3 (VCM),27/06/2018 04:00
27/06/2018,05:00:00,19.9,R ugm-3 (VCM),27/06/2018 05:00
27/06/2018,06:00:00,28.5,R ugm-3 (VCM),27/06/2018 06:00
27/06/2018,07:00:00,28.3,R ugm-3 (VCM),27/06/2018 07:00
27/06/2018,08:00:00,31,R ugm-3 (VCM),27/06/2018 08:00
27/06/2018,09:00:00,27.8,R ugm-3 (VCM),27/06/2018 09:00
27/06/2018,10:00:00,29.5,R ugm-3 (VCM),27/06/2018 10:00
27/06/2018,11:00:00,27.3,R ugm-3 (VCM),27/06/2018 11:00
27/06/2018,12:00:00,27,R ugm-3 (VCM),27/06/2018 12:00
27/06/2018,13:00:00,29.3,R ugm-3 (VCM),27/06/2018 13:00
27/06/2018,14:00:00,28.8,R ugm-3 (VCM),27/06/2018 14:00
27/06/2018,15:00:00,31.7,R ugm-3 (VCM),27/06/2018 15:00
27/06/2018,16:00:00,29.8,R ugm-3 (VCM),27/06/2018 16:00
27/06/2018,17:00:00,36.7,R ugm-3 (VCM),27/06/2018 17:00
27/06/2018,18:00:00,37.6,R ugm-3 (VCM),27/06/2018 18:00
27/06/2018,19:00:00,28.6,R ugm-3 (VCM),27/06/2018 19:00
27/06/2018,20:00:00,18.2,R ugm-3 (VCM),27/06/2018 20:00
27/06/2018,21:00:00,23.8,R ugm-3 (VCM),27/06/2018 21:00
27/06/2018,22:00:00,22.4,R ugm-3 (VCM),27/06/2018 22:00
27/06/2018,23:00:00,18.3,R ugm-3 (VCM),27/06/2018 23:00
27/06/2018,24:00:00,18.1,R ugm-3 (VCM),28/06/2018 00:00
28/06/2018,01:00:00,13.6,R ugm-3 (VCM),28/06/2018 01:00
28/06/2018,02:00:00,5.2,R ugm-3 (VCM),28/06/2018 02:00
28/06/2018,03:00:00,12.9,R ugm-3 (VCM),28/06/2018 03:00
28/06/2018,04:00:00,16.5,R ugm-3 (VCM),28/06/2018 04:00
28/06/2018,05:00:00,21.6,R ugm-3 (VCM),28/06/2018 05:00
28/06/2018,06:00:00,28.3,R ugm-3 (VCM),28/06/2018 06:00
28/06/2018,07:00:00,28.8,R ugm-3 (VCM),28/06/2018 07:00
28/06/2018,08:00:00,30.3,R ugm-3 (VCM),28/06/2018 08:00
28/06/2018,09:00:00,29.4,R ugm-3 (VCM),28/06/2018 09:00
28/06/2018,10:00:00,19.6,R ugm-3 (VCM),28/06/2018 10:00
28/06/2018,11:00:00,18.2,R ugm-3 (VCM),28/06/2018 11:00
28/06/2018,12:00:00,26.4,R ugm-3 (VCM),28/06/2018 12:00
28/06/2018,13:00:00,27.1,R ugm-3 (VCM),28/06/2018 13:00
28/06/2018,14:00:00,21.8,R ugm-3 (VCM),28/06/2018 14:00
28/06/2018,15:00:00,34,R ugm-3 (VCM),28/06/2018 15:00
28/06/2018,16:00:00,23.5,R ugm-3 (VCM),28/06/2018 16:00
28/06/2018,17:00:00,31.2,R ugm-3 (VCM),28/06/2018 17:00
28/06/2018,18:00:00,30.3,R ugm-3 (VCM),28/06/2018 18:00
28/06/2018,19:00:00,30.1,R ugm-3 (VCM),28/06/2018 19:00
28/06/2018,20:00:00,36.5,R ugm-3 (VCM),28/06/2018 20:00
28/06/2018,21:00:00,31.9,R ugm-3 (VCM),28/06/2018 21:00
28/06/2018,22:00:00,17.8,R ugm-3 (VCM),28/06/2018 22:00
28/06/2018,23:00:00,14.6,R ugm-3 (VCM),28/06/2018 23:00
28/06/2018,24:00:00,12.3,R ugm-3 (VCM),29/06/2018 00:00
29/06/2018,01:00:00,20.4,R ugm-3 (VCM),29/06/2018 01:00
29/06/2018,02:00:00,11.3,R ugm-3 (VCM),29/06/2018 02:00
29/06/2018,03:00:00,12,R ugm-3 (VCM),29/06/2018 03:00
29/06/2018,04:00:00,7.8,R ugm-3 (VCM),29/06/2018 04:00
29/06/2018,05:00:00,14.2,R ugm-3 (VCM),29/06/2018 05:00
29/06/2018,06:00:00,23.5,R ugm-3 (VCM),29/06/2018 06:00
29/06/2018,07:00:00,25.1,R ugm-3 (VCM),29/06/2018 07:00
29/06/2018,08:00:00,22.2,R ugm-3 (VCM),29/06/2018 08:00
29/06/2018,09:00:00,18.2,R ugm-3 (VCM),29/06/2018 09:00
29/06/2018,10:00:00,15,R ugm-3 (VCM),29/06/2018 10:00
29/06/2018,11:00:00,27,R ugm-3 (VCM),29/06/2018 11:00
29/06/2018,12:00:00,27.8,R ugm-3 (VCM),29/06/2018 12:00
29/06/2018,13:00:00,31.5,R ugm-3 (VCM),29/06/2018 13:00
29/06/2018,14:00:00,32.2,R ugm-3 (VCM),29/06/2018 14:00
29/06/2018,15:00:00,28.1,R ugm-3 (VCM),29/06/2018 15:00
29/06/2018,16:00:00,26.8,R ugm-3 (VCM),29/06/2018 16:00
29/06/2018,17:00:00,28.1,R ugm-3 (VCM),29/06/2018 17:00
29/06/2018,18:00:00,44.3,R ugm-3 (VCM),29/06/2018 18:00
29/06/2018,19:00:00,37.4,R ugm-3 (VCM),29/06/2018 19:00
29/06/2018,20:00:00,32,R ugm-3 (VCM),29/06/2018 20:00
29/06/2018,21:00:00,24.9,R ugm-3 (VCM),29/06/2018 21:00
29/06/2018,22:00:00,13.5,R ugm-3 (VCM),29/06/2018 22:00
29/06/2018,23:00:00,14.2,R ugm-3 (VCM),29/06/2018 23:00
29/06/2018,24:00:00,15.4,R ugm-3 (VCM),30/06/2018 00:00
30/06/2018,01:00:00,15.4,R ugm-3 (VCM),30/06/2018 01:00
30/06/2018,02:00:00,13.6,R ugm-3 (VCM),30/06/2018 02:00
30/06/2018,03:00:00,12.2,R ugm-3 (VCM),30/06/2018 03:00
30/06/2018,04:00:00,15.6,R ugm-3 (VCM),30/06/2018 04:00
30/06/2018,05:00:00,16.5,R ugm-3 (VCM),30/06/2018 05:00
30/06/2018,06:00:00,15.1,R ugm-3 (VCM),30/06/2018 06:00
30/06/2018,07:00:00,13.4,R ugm-3 (VCM),30/06/2018 07:00
30/06/2018,08:00:00,22.3,R ugm-3 (VCM),30/06/2018 08:00
30/06/2018,09:00:00,22.8,R ugm-3 (VCM),30/06/2018 09:00
30/06/2018,10:00:00,20.5,R ugm-3 (VCM),30/06/2018 10:00
30/06/2018,11:00:00,19.1,R ugm-3 (VCM),30/06/2018 11:00
30/06/2018,12:00:00,27.1,R ugm-3 (VCM),30/06/2018 12:00
30/06/2018,13:00:00,19.3,R ugm-3 (VCM),30/06/2018 13:00
30/06/2018,14:00:00,24.9,R ugm-3 (VCM),30/06/2018 14:00
30/06/2018,15:00:00,24.7,R ugm-3 (VCM),30/06/2018 15:00
30/06/2018,16:00:00,24.1,R ugm-3 (VCM),30/06/2018 16:00
30/06/2018,17:00:00,27.5,R ugm-3 (VCM),30/06/2018 17:00
30/06/2018,18:00:00,25.8,R ugm-3 (VCM),30/06/2018 18:00
30/06/2018,19:00:00,19.8,R ugm-3 (VCM),30/06/2018 19:00
30/06/2018,20:00:00,19.3,R ugm-3 (VCM),30/06/2018 20:00
30/06/2018,21:00:00,31.2,R ugm-3 (VCM),30/06/2018 21:00
30/06/2018,22:00:00,19.8,R ugm-3 (VCM),30/06/2018 22:00
30/06/2018,23:00:00,20.2,R ugm-3 (VCM),30/06/2018 23:00
30/06/2018,24:00:00,13.3,R ugm-3 (VCM),01/07/2018 00:00
01/07/2018,01:00:00,17.7,R ugm-3 (VCM),01/07/2018 01:00
01/07/2018,02:00:00,20.5,R ugm-3 (VCM),01/07/2018 02:00
01/07/2018,03:00:00,16,R ugm-3 (VCM),01/07/2018 03:00
01/07/2018,04:00:00,23.4,R ugm-3 (VCM),01/07/2018 04:00
01/07/2018,05:00:00,21.1,R ugm-3 (VCM),01/07/2018 05:00
01/07/2018,06:00:00,17,R ugm-3 (VCM),01/07/2018 06:00
01/07/2018,07:00:00,18.9,R ugm-3 (VCM),01/07/2018 07:00
01/07/2018,08:00:00,21.9,R ugm-3 (VCM),01/07/2018 08:00
01/07/2018,09:00:00,27.6,R ugm-3 (VCM),01/07/2018 09:00
01/07/2018,10:00:00,23.5,R ugm-3 (VCM),01/07/2018 10:00
01/07/2018,11:00:00,24.8,R ugm-3 (VCM),01/07/2018 11:00
01/07/2018,12:00:00,24.8,R ugm-3 (VCM),01/07/2018 12:00
01/07/2018,13:00:00,25,R ugm-3 (VCM),01/07/2018 13:00
01/07/2018,14:00:00,28.6,R ugm-3 (VCM),01/07/2018 14:00
01/07/2018,15:00:00,27.7,R ugm-3 (VCM),01/07/2018 15:00
01/07/2018,16:00:00,31.8,R ugm-3 (VCM),01/07/2018 16:00
01/07/2018,17:00:00,32,R ugm-3 (VCM),01/07/2018 17:00
01/07/2018,18:00:00,31.1,R ugm-3 (VCM),01/07/2018 18:00
01/07/2018,19:00:00,28.9,R ugm-3 (VCM),01/07/2018 19:00
01/07/2018,20:00:00,32.9,R ugm-3 (VCM),01/07/2018 20:00
01/07/2018,21:00:00,28.1,R ugm-3 (VCM),01/07/2018 21:00
01/07/2018,22:00:00,25.1,R ugm-3 (VCM),01/07/2018 22:00
01/07/2018,23:00:00,25.1,R ugm-3 (VCM),01/07/2018 23:00
